procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16286984 993708 6091064    0    0     0  2384 10903 2797  7  1 91  0  0  0
 2  0      0 16280968 993716 6092676    0    0     0  6464 11647 2703  7  1 91  0  0  0
 2  0      0 16294084 993716 6093508    0    0     0  3288 10594 2787  7  1 91  0  0  0
 3  0      0 16303480 993720 6096632    0    0     0  3720 13146 3552  7  2 91  0  0  0
 4  0      0 16313936 993720 6097764    0    0     0  3032 14507 4274  6  2 91  1  0  0
 2  0      0 16283252 993720 6100784    0    0     0  2700 17725 5069  6  2 91  0  0  0
 3  1      0 16300072 993728 6102532    0    0     0  8400 14035 3859  6  2 91  1  0  0
 4  0      0 16301544 993728 6104240    0    0     0  3448 14228 3828  7  2 91  0  0  0
 2  0      0 16303020 993728 6105740    0    0     0  5160 8235 1999  8  1 91  0  0  0
 2  0      0 16248104 993728 6108536    0    0     0  2900 10007 2606  7  1 91  0  0  0
 2  0      0 16284092 993728 6110508    0    0     0  5760 9492 2508  7  1 91  1  0  0
 2  0      0 16275820 993736 6113812    0    0     0  5056 11144 2818  8  1 91  0  0  0
 2  0      0 16227496 993736 6116264    0    0     0  3220 10213 2698  8  1 91  0  0  0
 2  0      0 16231692 993736 6118260    0    0     0  3876 10536 2941  8  1 91  0  0  0
 2  0      0 16272356 993736 6120736    0    0     0  4484 10332 2507  7  1 91  0  0  0
 2  0      0 16223712 993736 6122996    0    0     0  3968 10077 2574  8  1 91  0  0  0
 2  0      0 16204920 993744 6124852    0    0     0  4556 9536 2173  8  1 91  0  0  0
 2  0      0 16198280 993744 6127220    0    0     0  5460 11436 3116  7  1 91  0  0  0
 2  0      0 16202076 993744 6130904    0    0     0  3880 8804 2289  8  1 91  0  0  0
 2  0      0 16177052 993748 6132124    0    0     0  3812 10745 2929  8  1 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
